Niveles,Limite
26.63807989,1
21.832057,1
21.56811993,1
29.85656672,1
13.99968242,0
22.57470709,1
25.4451199,1
35.21681147,1
29.87544035,1
36.15294993,1
33.74607538,1
25.56325234,1
23.56325264,1
22.63026185,1
19.35418476,0
20.14470207,0
15.11640671,0
17.52734391,0
15.25892285,0
21.8762285,1
26.20171882,1
24.24974583,1
21.01820533,1
